Name,ID,English name,Region,Building type,Categories,Activities,Features,Architect(s),Builder,Century,Year built,Rebuilt year,Architectural style,Wikipedia link,Website,Instagram,Map link,Latitude,Longitude,WP Post ID
Ekolsunds slott,ekolsunds-slott,Ekolsund Castle,Uppland,Castle,Weddings|Food & Drink|Accommodation|Conferences & Events|History & Culture|Spa & Wellness|Gardens & Parks,,,Simon de la Vallée (north wing); Nicodemus Tessin d.ä. (south wing); Carl Hårleman (unifying rebuild and Exedran),,18th Century,1637,1740,Baroque,https://sv.wikipedia.org/wiki/Ekolsunds_slott,http://www.ekolsundsslott.se/,,https://maps.app.goo.gl/8iQLRKHFxmC8zEzw8,59.650617873470644,17.366866297989603,
Eksjöhovgårds slottsruin,eksjohovgards-slottsruin,Eksjöhovgård Castle Ruin,Småland,Ruin,History & Culture,Sightseeing,,,Carl Mauritz Lewenhaupt,17th Century,1650,,,https://sv.wikipedia.org/wiki/Eksjöhovgårds_slottsruin,https://savsjo.se/turism/nyhetsarkiv/nyheter/se-och-gora/2019-04-12-eksjohovgards-slottsruin.html,,https://maps.app.goo.gl/GVnktAk3fWAKnaSi8,57.391900308720665,14.686935840182638,
Elfviks gård,elfviks-gard,Elfvik Manor,Uppland,Manor,Weddings,,,,Petter Widman,19th Century,1775,1811,,https://sv.wikipedia.org/wiki/Elfviks_gård,https://elfviksherrgard.se,,https://maps.app.goo.gl/NfMXfWXMVTVu9wYM6,59.36633334430069,18.248155901592135,
Ellinge slott,ellinge-slott,Ellinge Manor,Skåne,Manor,Weddings|Sports & Recreation,,,Leon Nilsson (restoration),,19th Century,1400,1850,Renaissance,https://sv.wikipedia.org/wiki/Ellinge_slott,https://ellinge.se/,,https://maps.app.goo.gl/4gqPNcHqZ4iQWLcU6,55.8117736755233,13.287382711254176,
Ems herrgård,ems-herrgard,Em Manor,Småland,Manor,Sports & Recreation,,,,,19th Century,1600,1800,,https://sv.wikipedia.org/wiki/Ems_herrgård,https://www.emsherrgard.se,,https://maps.app.goo.gl/YgMqbMc3Cgra2BW79,57.12885562809893,16.497655184321587,
Engsholms slott,engsholms-slott,Engsholm Manor,Södermanland,Manor,Weddings|Accommodation,,,Tore E:son Lindberg,Philip Wersén,20th Century,1916,,National Romantic,https://sv.wikipedia.org/wiki/Ängsholm,https://www.engsholm.se/,,https://maps.app.goo.gl/RUHu5GdfhMdKAJtt6,59.068321635162,17.666866882754164,
Ericsbergs slott,ericsbergs-slott,Ericsberg Manor,Södermanland,Manor,Sports & Recreation,,,"Possibly Nicodemus Tessin d.ä., Jean de la Vallée, or Mathias Spihler (sources disagree); Isak Gustaf Clason (restoration)",,17th Century,1650,,Baroque,https://sv.wikipedia.org/wiki/Ericsbergs_slott,http://www.ericsberg.se/,,https://maps.app.goo.gl/PzbpcKUYDAVwMfdt8,58.93269414234362,16.378783199799223,
Fiholm (Västmanland),fiholm-vastmanland,Fiholm Manor,Västmanland,Manor,Weddings|Conferences & Events,,,Johan Sebastian af Uhr,Carl Johan Ridderstolpe,18th Century,1772,,Gustavian,"https://sv.wikipedia.org/wiki/Fiholm,_Västmanland",https://www.fiholm.net/,,https://maps.app.goo.gl/DzbaTooSWVzM88XY8,59.48934227962967,16.36573935379931,
Finspångs slott,finspangs-slott,Finspång Manor,Södermanland,Manor,Food & Drink,,,Adriaan Dortsman (wings added later),Louis De Geer,17th Century,1668,1742,Dutch Renaissance,https://sv.wikipedia.org/wiki/Finspångs_slott,https://www.finspongsslott.se/,,https://maps.app.goo.gl/7d1uLDU3CSDk2sSB7,58.70974339027679,15.770895970949788,
Fjelldalens slott,fjelldalens-slott,Fjelldalen Manor,Halland,Manor,Weddings,,,Per Lennart Håkansson (rebuild),Ludvig von Segebaden,20th Century,1887,1907,,https://sv.wikipedia.org/wiki/Fjelldalen,https://fjelldalensslott.se/,,https://maps.app.goo.gl/qJvZdgd4QayhRwSw9,56.72452153128253,12.721644832729726,
Fredensborgs herrgård,fredensborgs-herrgard,Fredensborg Manor,Småland,Manor,Food & Drink|Weddings|Accommodation,,,Hugo Hammarskjöld,Axel Tillberg,19th Century,1875,,Swiss Chalet Style,https://sv.wikipedia.org/wiki/Fredensborgs_herrgård,https://www.fredensborg.com/,,https://maps.app.goo.gl/v5mWKHwNoeKwc7HP9,57.57633822476176,15.806420688036715,
Fredriksbergs herrgård,fredriksbergs-herrgard,Fredriksberg Manor,Småland,Manor,History & Culture,,,,Peter Reinke Cederbaum,18th Century,1783,,Gustavian,https://sv.wikipedia.org/wiki/Fredriksbergs_herrgård,http://herrgardskoket.se/,,https://maps.app.goo.gl/VEb15rhieRWqyzgLA,57.26967598487757,16.42744609596945,
Fredriksborgs fästning,fredriksborgs-fastning,Fredriksborg Fortress,Södermanland,Fortress,Weddings|Accommodation,,,Gabriel Cronstedt (fortification design); Carl Hårleman (barracks building),,18th Century,1724,,,https://sv.wikipedia.org/wiki/Fredriksborgs_fästning,https://www.fredriksborghotel.se/,,https://maps.app.goo.gl/LJo2F7hcu5mVE64y6,59.40087782173549,18.44239303731107,
Fredriksdals herrgård,fredriksdals-herrgard,Fredriksdal Manor,Skåne,Manor,History & Culture,,,,Fredrik Wilhelm Cöster,18th Century,1787,,Gustavian,https://sv.wikipedia.org/wiki/Fredriksdals_herrgård,https://fredriksdal.se/,,https://maps.app.goo.gl/SjrWgmq4RtMTB8P69,56.056804070600386,12.713400862848822,
Fulltofta slott,fulltofta-slott,Fulltofta Manor,Skåne,Manor,Weddings,,,,Vivika Charlotta Trolle and Peter Axel Dahl,19th Century,1848,,Neoclassical,,https://www.fulltoftaslott.se/,,https://maps.app.goo.gl/44qLx4uEvAFVMG476,55.877880086630924,13.623004253593443,
Fållnäs gård,fallnas-gard,Fållnäs Manor,Södermanland,Manor,Sports & Recreation,,,Erik Palmstedt,Carl Göran Bonde,18th Century,1780,,,https://sv.wikipedia.org/wiki/Fållnäs,https://fallnas.se,,https://maps.app.goo.gl/d5n7v94eF48jhTgb8,58.95796415966373,17.767442390478426,
Färna herrgård,farna-herrgard,Färna Manor,Västmanland,Manor,Food & Drink|Accommodation|Spa & Wellness,,,,Jacob Ramsell; Carl Johan von Hermansson (rebuild),19th Century,1776,1857,,,https://farnaherrgard.se/,,https://maps.app.goo.gl/BzwoqSbXiKn1Vp318,59.779259678122294,15.86487344208555,
Garpenbergs slott,garpenbergs-slott,Garpenberg Manor,Dalarna,Manor,Food & Drink|Weddings|Accommodation,,,Carl Christoffer Gjörwell,Salomon von Stockenström,19th Century,1801,,Empire,https://sv.wikipedia.org/wiki/Garpenbergs_herrgård,https://www.garpenbergsslott.se/,,https://maps.app.goo.gl/FX6XwwifPJk9vvoh6,60.28330408818943,16.203741669089304,
Gimo herrgård,gimo-herrgard,Gimo Manor,Uppland,Manor,Food & Drink|Accommodation|Spa & Wellness,,,Jean Eric Rehn,Robert Finlay and Jean Henri Le Febure,18th Century,1767,,Gustavian,https://sv.wikipedia.org/wiki/Gimo_herrgård,http://www.gimoherrgard.se/,,https://maps.app.goo.gl/HDSDQRpSA3YsHWiF9,60.178401878003655,18.174016889977974,
Glimmingehus,glimmingehus,Glimmingehus,Skåne,Castle,History & Culture,,,Adam van Düren,Jens Holgersen Ulfstand,15th Century,1499,,,https://sv.wikipedia.org/wiki/Glimmingehus,https://www.raa.se/evenemang-och-upplevelser/upplev-kulturarvet/glimmingehus/,,https://maps.app.goo.gl/i7eS2USQGAr2qwn18,55.500985170528836,14.230870513089021,
Grimsnäs herrgård,grimsnas-herrgard,Grimsnäs Manor,Småland,Manor,Food & Drink,,,,,19th Century,1850,,,,https://www.grimsnas.se/,,https://maps.app.goo.gl/iNR7TX2A1yS2yQee8,56.66913601596878,15.334523351770274,
Gripsholms slott,gripsholms-slott,Gripsholm Castle,Södermanland,Castle,History & Culture,,,"Heinrich (Henrik) von Cöllen, master builder; Fredrik Lilljekvist (restoration)",,16th Century,1537,,Renaissance,https://sv.wikipedia.org/wiki/Gripsholms_slott,https://www.kungligaslotten.se/vara-besoksmal/gripsholms-slott.html,,https://maps.app.goo.gl/JtiUgCJdiUYQWUqcA,59.25626544274333,17.219740876540904,
Gräfsnäs slottsruin,grafsnas-slottsruin,Gräfsnäs Castle Ruin,Småland,Ruin,History & Culture,Sightseeing,,,"Sten Eriksson Leijonhufvud, completed by widow Ebba Månsdotter, from c. 1550; rebuilt in late-Renaissance style 1634–53 under Gustaf Adolf Lewenhaupt",17th Century,1550,1634,Renaissance,https://sv.wikipedia.org/wiki/Gräfsnäs_slott,https://grafsnasslottspark.se/,,https://maps.app.goo.gl/882kGrLydbzbK2Eu5,58.0772979690115,12.497338659273195,
Gränsö slott,granso-slott,Gränsö Manor,Småland,Manor,Food & Drink|Accommodation|Spa & Wellness,,,Olof Johan Risselskiöld,Erik Sparre (rebuild),19th Century,1807,1847,Empire,https://sv.wikipedia.org/wiki/Gränsö_slott,https://www.granso.se/,,https://maps.app.goo.gl/WPhvgrGA5a8PaX1x5,57.760690377774175,16.683445609479218,
Grönsöö slott,gronsoo-slott,Grönsöö Manor,Uppland,Manor,History & Culture,,,"Possibly Hans Fleming; corner towers later demolished, giving the building its simpler current form",Johan Skytte,17th Century,1607,1736,Dutch Renaissance,https://sv.wikipedia.org/wiki/Grönsö_slott,https://gronsoo.se/,,https://maps.app.goo.gl/JnB2ZWAjkMywfEhW7,59.47266100350166,17.248127338798476,
Gunnebo slott,gunnebo-slott,Gunnebo Manor,Västergötland,Manor,Food & Drink|Weddings|History & Culture,,,Carl Wilhelm Carlberg,John Hall,18th Century,1778,,Neoclassical,https://sv.wikipedia.org/wiki/Gunnebo_slott,https://gunneboslott.se/,,https://maps.app.goo.gl/dQP4yqz77stqy8ER8,57.65810202780927,12.059030951532451,
Gustaf III:s paviljong,gustaf-iii-s-paviljong,Gustaf III:s pavillion,Uppland,Palace,History & Culture,,,Olof Tempelman (incorporating the earlier Brahelund manor house); Louis Masreliez (interiors),King Gustaf III,18th Century,1787,,Gustavian,https://sv.wikipedia.org/wiki/Gustav_III:s_paviljong,https://www.kungligaslotten.se/vara-besoksmal/gustav-iiis-paviljong.html,,https://maps.app.goo.gl/e1GbAYRpHkuW7LJk6,59.36273135591158,18.039154470988937,
Gustafsborgs säteri,gustafsborgs-sateri,Gustafsborg Manor,Skåne,Manor,Sports & Recreation,,,,,18th Century,1762,,,https://sv.wikipedia.org/wiki/Gustafsborgs_säteri,https://gustafsborg.se/,,https://maps.app.goo.gl/L9C1H4DgqbH2i6in6,56.10823569614891,13.414628778737127,
Gysinge herrgård,gysinge-herrgard,Gysinge Manor,Gästrikland,Manor,Food & Drink|Accommodation,,,Carl Christoffer Gjörwell,,19th Century,1832,,Gustavian,,https://gysingeherrgard.se/,,https://maps.app.goo.gl/GhdB24o4HEyQvC2M6,60.28835755661652,16.881760530569945,
Gässhult säteri,gasshult-sateri,Gässhult Manor,Småland,Manor,Accommodation|Sports & Recreation,,,,,17th Century,1690,,,https://sv.wikipedia.org/wiki/Gässhults_säteri,https://gasshult.se,,https://maps.app.goo.gl/Ff74LLWDeUVftfRDA,57.45108050977476,16.610556897825447,
Görvälns slott,gorvalns-slott,Görväln Manor,Uppland,Manor,Food & Drink|Weddings|Accommodation,,,Probably Jean de la Vallée,Elsa Elisabeth Brahe,17th Century,1659,,Baroque,https://sv.wikipedia.org/wiki/Görvälns_slott,https://www.gorvalnsslott.se/,,https://maps.app.goo.gl/7oE8tvNj58Yzabcg7,59.43495315577165,17.787324813321035,
Götala herrgård,gotala-herrgard,Götala Manor,Västergötland,Manor,Food & Drink|Weddings,,,,,19th Century,1889,,,https://sv.wikipedia.org/wiki/Götala_kungsgård,https://www.gotalaherrgard.se/,,https://maps.app.goo.gl/AfrXfyLiHcBr5HCx6,58.381465097754905,13.48418162669346,
Haga slott (Enköping),haga-slott-enkoping,Haga Manor,Uppland,Manor,Food & Drink|Weddings|Accommodation,,,Nicodemus Tessin d.ä.,Gustaf Persson (Natt och Dag),17th Century,1660,,Renaissance,"https://sv.wikipedia.org/wiki/Haga_slott,_Enköpings_kommun",https://hagaslott.se/,,https://maps.app.goo.gl/MvDcqh1hsRiguQwg6,59.60435285780473,17.04964205380626,
Hällsnäs herrgåd,hallsnas-herrgard,Hällsnäs Manor,Västergötland,Manor,Accommodation|Food & Drink|Spa & Wellness|Weddings|Conferences & Events,,,,,20th Century,1906,,,,https://hallsnas.se/en/,,https://maps.app.goo.gl/pRLRUYp1TDHWt8Qv9,57.67583920436353,12.18148314575685,
